cal_sbid,sbid,field
35440,35515,RACS_2034+23
35440,35516,RACS_2046+04
35440,35517,RACS_2108+09
35440,35518,RACS_2129+09
35440,35519,RACS_2151+04
35440,35520,RACS_2212+28
35440,35521,RACS_2234+09
35440,35522,RACS_2255+09
35440,35523,RACS_2314+23
35440,35524,RACS_2327+14
35440,35525,RACS_2348+28
35440,35526,RACS_0011+18
35440,35527,RACS_0032+14
35440,35528,RACS_0054+14
35440,35529,RACS_0125+09
35440,35530,RACS_0131+23
35440,35531,RACS_0147+09
35440,35532,RACS_0208+00
35440,35533,RACS_0230+00
35440,35534,RACS_0251+00
35440,35535,RACS_0313+04
35440,35536,RACS_0334+04
35440,35537,RACS_0356+04
35440,35538,RACS_0417+00
35440,35539,RACS_0434-23
35440,35540,RACS_0448-37
35440,35541,RACS_0510-32
35440,35542,RACS_0535-32
35440,35543,RACS_0548-28
35440,35544,RACS_0612-28
35440,35545,RACS_0626-09
35440,35546,RACS_0656+18
35440,35547,RACS_0709-09
35440,35548,RACS_0727-14
35440,35549,RACS_0749-14
35440,35550,RACS_0810-14
35440,35551,RACS_0826-18
35440,35552,RACS_0848-18
35440,35553,RACS_0908-23
35440,35554,RACS_0931-23
35440,35555,RACS_0948-28
35440,35556,RACS_1012-28
35440,35557,RACS_1036-28
35440,35558,RACS_1044-09
35440,35559,RACS_1106-04
35440,35560,RACS_1127-14
35440,35561,RACS_1149-09
35440,35562,RACS_1210-04
35440,35563,RACS_1232+00
35440,35564,RACS_1253+04
35440,35565,RACS_1315+09
35440,35566,RACS_1331+37
35440,35567,RACS_1403+18
35440,35568,RACS_1426+18
35440,35569,RACS_1443+14
35440,35570,RACS_1448+18
35440,35571,RACS_1505+14
35440,35572,RACS_1524+00
35440,35573,RACS_1545+00
35440,35574,RACS_1607-04
35440,35575,RACS_1628-04
35440,35576,RACS_1650+00
35440,35577,RACS_1708+23
35440,35578,RACS_1814+46
35440,35579,RACS_1748+18
35580,35581,RACS_2034-60
35580,35582,RACS_2044-46
35580,35583,RACS_2114-46
35580,35584,RACS_2122-37
35580,35585,RACS_2142-23
35580,35586,RACS_2205-23
35580,35587,RACS_2228-23
35580,35588,RACS_2243-14
35580,35589,RACS_2305-14
35580,35590,RACS_2326-18
35580,35591,RACS_2348-18
35580,35592,RACS_0010-14
35580,35593,RACS_0032-14
35580,35594,RACS_0042-09
35580,35595,RACS_0104-09
35580,35596,RACS_0125-09
35580,35597,RACS_0147-04
35580,35598,RACS_0208-04
35580,35599,RACS_0230-04
35580,35600,RACS_0243-14
35580,35601,RACS_0305-14
35580,35602,RACS_0327-14
35580,35603,RACS_0349-14
35580,35604,RACS_0411-23
35580,35605,RACS_0421-37
35580,35606,RACS_0441-18
35580,35607,RACS_0503-18
35580,35608,RACS_0522-09
35580,35609,RACS_0543-09
35580,35610,RACS_0605-09
35580,35611,RACS_0621-14
35580,35613,RACS_0725-37
35580,35614,RACS_0748-28
35580,35615,RACS_0804-32
35580,35616,RACS_0828-32
35580,35617,RACS_0843-37
35580,35618,RACS_0909-37
35580,35619,RACS_0927-41
35580,35620,RACS_0943-32
35580,35621,RACS_1002-37
35580,35622,RACS_1023-41
35580,35623,RACS_1044-46
35580,35624,RACS_1102-23
35580,35625,RACS_1125-23
35580,35626,RACS_1148-23
35580,35627,RACS_1211-23
35580,35628,RACS_1234-23
35580,35629,RACS_1241-41
35580,35630,RACS_1302+32
35580,35631,RACS_1324-28
35580,35632,RACS_1342+23
35580,35633,RACS_1403-18
35580,35634,RACS_1421-14
35580,35635,RACS_1441-09
35580,35636,RACS_1502-04
35580,35637,RACS_2003+09
35580,35638,RACS_2025+00
35580,35639,RACS_2046+00
35580,35640,RACS_2108+04
35580,35641,RACS_2129+04
35580,35642,RACS_2142+23
35580,35643,RACS_2212+09
35580,35644,RACS_2234+04
35580,35645,RACS_2243+14
35580,35646,RACS_2303+18
35580,35647,RACS_2327+14
35580,35648,RACS_2338+09
35580,35649,RACS_2359+09
35580,35650,RACS_0021+09
35580,35651,RACS_0042+04
35580,35652,RACS_0104-04
35580,35653,RACS_0125-04
35580,35654,RACS_0138-14
35580,35655,RACS_0203-18
35580,35656,RACS_0217-23
35580,35657,RACS_0239-23
35580,35658,RACS_0300-28
35580,35659,RACS_0324-28
35580,35660,RACS_0348-28
35580,35661,RACS_0356-18
35580,35662,RACS_0417-09
35580,35663,RACS_0436-28
35580,35664,RACS_0457-23
35580,35665,RACS_0516-14
35580,35666,RACS_0538-14
35580,35667,RACS_0600-14
35580,35668,RACS_0626-04
35580,35669,RACS_0636-28
35580,35670,RACS_0700-28
35580,35671,RACS_0731-09
35580,35672,RACS_0752-04
35580,35673,RACS_0803+18
35580,35674,RACS_0835-09
35580,35675,RACS_0836-28
35580,35676,RACS_0859-41
35580,35677,RACS_0914-46
35580,35678,RACS_0936-37
35580,35679,RACS_0955-41
35580,35680,RACS_1014-46
35580,35681,RACS_1038-51
35580,35682,RACS_1057-32
35580,35683,RACS_1122-32
35580,35684,RACS_1147-32
35580,35685,RACS_1212-32
35580,35686,RACS_1237+32
35580,35687,RACS_1236+28
35580,35688,RACS_1300+28
35580,35689,RACS_1318+18
35580,35690,RACS_1341+18
35580,35691,RACS_1358+09
35580,35692,RACS_1419+09
35580,35693,RACS_1441+09
35580,35694,RACS_1502+04
35580,35695,RACS_1524-04
35580,35696,RACS_1533-18
35580,35697,RACS_1556-18
35580,35698,RACS_1618-18
35580,35699,RACS_1636-28
35580,35700,RACS_1700-28
35580,35701,RACS_1724-28
35580,35702,RACS_1735-32
35580,35703,RACS_1754-23
35719,35720,RACS_2314-46
35719,35721,RACS_2337-23
35719,35722,RACS_2359-09
35719,35723,RACS_0021-09
35719,35724,RACS_0042-04
35719,35725,RACS_0054-14
35719,35726,RACS_0116-14
35719,35727,RACS_0147-09
35719,35728,RACS_0154-23
35719,35729,RACS_0216-32
35719,35730,RACS_0236-28
35719,35731,RACS_0302-23
35719,35732,RACS_0325-23
35719,35733,RACS_0333-18
35719,35734,RACS_0356-09
35719,35735,RACS_0417-04
35719,35736,RACS_0500-09
35719,35737,RACS_0500-28
35719,35738,RACS_0522-04
35719,35739,RACS_0540-37
35719,35740,RACS_0600-32
35719,35741,RACS_0613-41
35719,35742,RACS_0641-41
35719,35743,RACS_0658-37
35719,35744,RACS_0714-32
35719,35745,RACS_0739-32
35719,35746,RACS_0754-51
35719,35747,RACS_0814-46
35719,35748,RACS_0844-46
35719,35749,RACS_0859-51
35719,35750,RACS_0918+09
35719,35751,RACS_0940-09
35719,35752,RACS_1001+09
35719,35753,RACS_1018-18
35719,35754,RACS_1044-04
35719,35755,RACS_1106-09
35719,35756,RACS_1126-18
35719,35757,RACS_1149+04
35719,35758,RACS_1210+09
35759,35760,RACS_1444-46
35759,35761,RACS_1505-14
35759,35762,RACS_1527-14
35759,35763,RACS_1545-04
35759,35764,RACS_1607-09
35759,35765,RACS_1628-09
35759,35766,RACS_1650-04
35759,35767,RACS_1711+00
35759,35768,RACS_1733+00
35759,35769,RACS_1754+04
35759,35770,RACS_1816+09
35759,35771,RACS_1837+09
35759,35772,RACS_1843+14
35759,35773,RACS_1944+46
35759,35774,RACS_1927+14
35759,35775,RACS_1949+14
35759,35776,RACS_2010-14
35759,35777,RACS_2032+14
35759,35778,RACS_2054+14
35759,35779,RACS_2111+18
35759,35780,RACS_2133-18
35759,35781,RACS_2151+00
35759,35782,RACS_2212+04
35759,35783,RACS_2234+00
35759,35784,RACS_2255+04
35759,35785,RACS_2317+09
35759,35786,RACS_2338+04
35759,35787,RACS_2359+04
35759,35788,RACS_0010+14
35759,35789,RACS_0042+00
35759,35790,RACS_0056-18
35759,35791,RACS_0118-18
35759,35792,RACS_0131-23
35759,35793,RACS_0151-32
35759,35794,RACS_0212-28
35759,35795,RACS_0230-09
35759,35796,RACS_0251-04
35759,35797,RACS_0313+00
35759,35798,RACS_0334+00
35759,35799,RACS_0356+00
35759,35800,RACS_0412-28
35759,35802,RACS_0506-55
35759,35803,RACS_0514-46
35759,35804,RACS_0544-46
35759,35805,RACS_0606-37
35759,35806,RACS_0611-18
35759,35807,RACS_0632-37
35759,35808,RACS_0651-23
35759,35809,RACS_0714-46
35759,35810,RACS_0736-41
35759,35811,RACS_0751-37
35759,35812,RACS_0812-28
35759,35813,RACS_0832-14
35759,35814,RACS_0854-14
35759,35815,RACS_0911-18
35759,35816,RACS_0933-18
35759,35817,RACS_0954-23
35759,35818,RACS_1021-14
35759,35819,RACS_1041-18
35759,35820,RACS_1103-18
35759,35821,RACS_1120-37
35759,35822,RACS_1146-37
35759,35823,RACS_1213-37
35759,35824,RACS_1211-18
35759,35825,RACS_1232-14
35759,35826,RACS_1253-09
35759,35827,RACS_1315-04
35759,35828,RACS_1336+00
35759,35829,RACS_1358+04
35759,35830,RACS_1419+04
35759,35831,RACS_1441+04
35759,35832,RACS_1451+23
35759,35833,RACS_1524-09
35759,35834,RACS_1537-23
35759,35835,RACS_1549-14
35759,35836,RACS_1610-14
35759,35837,RACS_1634-37
35759,35838,RACS_1650+09
35759,35839,RACS_1711+09
35759,35840,RACS_1733-09
35759,35841,RACS_1754-04
35759,35842,RACS_1816+00
35759,35843,RACS_1837+04
35759,35844,RACS_1859+00
